#Grid_ID FIELDID fov_sizex fov_sizey RA_center DEC_center RA_high1 DEC_high1 RA_high2 DEC_high2 RA_low1 DEC_low1 RA_low2 DEC_low2
G0015 08070008    1.70    1.70   80.75    0.85   79.90    1.70   81.60    1.70   79.90    0.00   81.60    0.00 
G0015 08240008    1.70    1.70   82.45    0.85   81.60    1.70   83.30    1.70   81.60    0.00   83.30    0.00 
G0015 08410008    1.70    1.70   84.15    0.85   83.30    1.70   85.00    1.70   83.30    0.00   85.00    0.00 
G0015 08580008    1.70    1.70   85.85    0.85   85.00    1.70   86.70    1.70   85.00    0.00   86.70    0.00 
G0015 08750008    1.70    1.70   87.55    0.85   86.70    1.70   88.40    1.70   86.70    0.00   88.40    0.00 
G0015 08920008    1.70    1.70   89.25    0.85   88.40    1.70   90.10    1.70   88.40    0.00   90.10    0.00 
G0015 09090008    1.70    1.70   90.95    0.85   90.10    1.70   91.80    1.70   90.10    0.00   91.80    0.00 
G0015 09260008    1.70    1.70   92.65    0.85   91.80    1.70   93.50    1.70   91.80    0.00   93.50    0.00 
G0015 09430008    1.70    1.70   94.35    0.85   93.50    1.70   95.20    1.70   93.50    0.00   95.20    0.00 
G0015 09600008    1.70    1.70   96.05    0.85   95.20    1.70   96.90    1.70   95.20    0.00   96.90    0.00 
G0015 09770008    1.70    1.70   97.75    0.85   96.90    1.70   98.60    1.70   96.90    0.00   98.60    0.00 
G0015 09940008    1.70    1.70   99.45    0.85   98.60    1.70  100.30    1.70   98.60    0.00  100.30    0.00 
G0015 10110008    1.70    1.70  101.15    0.85  100.30    1.70  102.00    1.70  100.30    0.00  102.00    0.00 
G0015 10280008    1.70    1.70  102.85    0.85  102.00    1.70  103.70    1.70  102.00    0.00  103.70    0.00 
G0015 10450008    1.70    1.70  104.55    0.85  103.70    1.70  105.40    1.70  103.70    0.00  105.40    0.00 
G0015 10620008    1.70    1.70  106.25    0.85  105.40    1.70  107.10    1.70  105.40    0.00  107.10    0.00 
G0015 10790008    1.70    1.70  107.95    0.85  107.10    1.70  108.80    1.70  107.10    0.00  108.80    0.00 
G0015 10960008    1.70    1.70  109.65    0.85  108.80    1.70  110.50    1.70  108.80    0.00  110.50    0.00 
G0015 11130008    1.70    1.70  111.35    0.85  110.50    1.70  112.20    1.70  110.50    0.00  112.20    0.00 
G0015 11300008    1.70    1.70  113.05    0.85  112.20    1.70  113.90    1.70  112.20    0.00  113.90    0.00 
G0015 11470008    1.70    1.70  114.75    0.85  113.90    1.70  115.60    1.70  113.90    0.00  115.60    0.00 
G0015 11640008    1.70    1.70  116.45    0.85  115.60    1.70  117.30    1.70  115.60    0.00  117.30    0.00 
G0015 11810008    1.70    1.70  118.15    0.85  117.30    1.70  119.00    1.70  117.30    0.00  119.00    0.00 
G0015 11980008    1.70    1.70  119.85    0.85  119.00    1.70  120.70    1.70  119.00    0.00  120.70    0.00 
G0015 12150008    1.70    1.70  121.55    0.85  120.70    1.70  122.40    1.70  120.70    0.00  122.40    0.00 
G0015 12320008    1.70    1.70  123.25    0.85  122.40    1.70  124.10    1.70  122.40    0.00  124.10    0.00 
G0015 12490008    1.70    1.70  124.95    0.85  124.10    1.70  125.80    1.70  124.10    0.00  125.80    0.00 
G0015 12660008    1.70    1.70  126.65    0.85  125.80    1.70  127.50    1.70  125.80    0.00  127.50    0.00 
G0015 12830008    1.70    1.70  128.35    0.85  127.50    1.70  129.20    1.70  127.50    0.00  129.20    0.00 
G0015 13000008    1.70    1.70  130.05    0.85  129.20    1.70  130.90    1.70  129.20    0.00  130.90    0.00 
G0015 13170008    1.70    1.70  131.75    0.85  130.90    1.70  132.60    1.70  130.90    0.00  132.60    0.00 
G0015 13340008    1.70    1.70  133.45    0.85  132.60    1.70  134.30    1.70  132.60    0.00  134.30    0.00 
G0015 13510008    1.70    1.70  135.15    0.85  134.30    1.70  136.00    1.70  134.30    0.00  136.00    0.00 
G0015 13680008    1.70    1.70  136.85    0.85  136.00    1.70  137.70    1.70  136.00    0.00  137.70    0.00 
G0015 13850008    1.70    1.70  138.55    0.85  137.70    1.70  139.40    1.70  137.70    0.00  139.40    0.00 
G0015 14020008    1.70    1.70  140.25    0.85  139.40    1.70  141.10    1.70  139.40    0.00  141.10    0.00 
G0015 14190008    1.70    1.70  141.95    0.85  141.10    1.70  142.80    1.70  141.10    0.00  142.80    0.00 
G0015 14360008    1.70    1.70  143.65    0.85  142.80    1.70  144.50    1.70  142.80    0.00  144.50    0.00 
G0015 14530008    1.70    1.70  145.35    0.85  144.50    1.70  146.20    1.70  144.50    0.00  146.20    0.00 
G0015 14700008    1.70    1.70  147.05    0.85  146.20    1.70  147.90    1.70  146.20    0.00  147.90    0.00 
G0015 14870008    1.70    1.70  148.75    0.85  147.90    1.70  149.60    1.70  147.90    0.00  149.60    0.00 
G0015 15040008    1.70    1.70  150.45    0.85  149.60    1.70  151.30    1.70  149.60    0.00  151.30    0.00 
G0015 15210008    1.70    1.70  152.15    0.85  151.30    1.70  153.00    1.70  151.30    0.00  153.00    0.00 
G0015 15380008    1.70    1.70  153.85    0.85  153.00    1.70  154.70    1.70  153.00    0.00  154.70    0.00 
G0015 15550008    1.70    1.70  155.55    0.85  154.70    1.70  156.40    1.70  154.70    0.00  156.40    0.00 
G0015 15720008    1.70    1.70  157.25    0.85  156.40    1.70  158.10    1.70  156.40    0.00  158.10    0.00 
G0015 15890008    1.70    1.70  158.95    0.85  158.10    1.70  159.80    1.70  158.10    0.00  159.80    0.00 
G0015 16060008    1.70    1.70  160.65    0.85  159.80    1.70  161.50    1.70  159.80    0.00  161.50    0.00 
G0015 16230008    1.70    1.70  162.35    0.85  161.50    1.70  163.20    1.70  161.50    0.00  163.20    0.00 
G0015 16400008    1.70    1.70  164.05    0.85  163.20    1.70  164.90    1.70  163.20    0.00  164.90    0.00 
G0015 16570008    1.70    1.70  165.75    0.85  164.90    1.70  166.60    1.70  164.90    0.00  166.60    0.00 
G0015 16740008    1.70    1.70  167.45    0.85  166.60    1.70  168.30    1.70  166.60    0.00  168.30    0.00 
G0015 16910008    1.70    1.70  169.15    0.85  168.30    1.70  170.00    1.70  168.30    0.00  170.00    0.00 
G0015 17080008    1.70    1.70  170.85    0.85  170.00    1.70  171.70    1.70  170.00    0.00  171.70    0.00 
G0015 17250008    1.70    1.70  172.55    0.85  171.70    1.70  173.40    1.70  171.70    0.00  173.40    0.00 
G0015 17420008    1.70    1.70  174.25    0.85  173.40    1.70  175.10    1.70  173.40    0.00  175.10    0.00 
G0015 17590008    1.70    1.70  175.95    0.85  175.10    1.70  176.80    1.70  175.10    0.00  176.80    0.00 
G0015 17760008    1.70    1.70  177.65    0.85  176.80    1.70  178.50    1.70  176.80    0.00  178.50    0.00 
G0015 17930008    1.70    1.70  179.35    0.85  178.50    1.70  180.20    1.70  178.50    0.00  180.20    0.00 
G0015 18100008    1.70    1.70  181.05    0.85  180.20    1.70  181.90    1.70  180.20    0.00  181.90    0.00 
G0015 18270008    1.70    1.70  182.75    0.85  181.90    1.70  183.60    1.70  181.90    0.00  183.60    0.00 
G0015 18440008    1.70    1.70  184.45    0.85  183.60    1.70  185.30    1.70  183.60    0.00  185.30    0.00 
G0015 18610008    1.70    1.70  186.15    0.85  185.30    1.70  187.00    1.70  185.30    0.00  187.00    0.00 
G0015 18780008    1.70    1.70  187.85    0.85  187.00    1.70  188.70    1.70  187.00    0.00  188.70    0.00 
G0015 18950008    1.70    1.70  189.55    0.85  188.70    1.70  190.40    1.70  188.70    0.00  190.40    0.00 
G0015 19120008    1.70    1.70  191.25    0.85  190.40    1.70  192.10    1.70  190.40    0.00  192.10    0.00 
G0015 19290008    1.70    1.70  192.95    0.85  192.10    1.70  193.80    1.70  192.10    0.00  193.80    0.00 
G0015 19460008    1.70    1.70  194.65    0.85  193.80    1.70  195.50    1.70  193.80    0.00  195.50    0.00 
G0015 19630008    1.70    1.70  196.35    0.85  195.50    1.70  197.20    1.70  195.50    0.00  197.20    0.00 
G0015 19800008    1.70    1.70  198.05    0.85  197.20    1.70  198.90    1.70  197.20    0.00  198.90    0.00 
G0015 19970008    1.70    1.70  199.75    0.85  198.90    1.70  200.60    1.70  198.90    0.00  200.60    0.00 
G0015 20140008    1.70    1.70  201.45    0.85  200.60    1.70  202.30    1.70  200.60    0.00  202.30    0.00 
G0015 20310008    1.70    1.70  203.15    0.85  202.30    1.70  204.00    1.70  202.30    0.00  204.00    0.00 
G0015 20480008    1.70    1.70  204.85    0.85  204.00    1.70  205.70    1.70  204.00    0.00  205.70    0.00 
G0015 20650008    1.70    1.70  206.55    0.85  205.70    1.70  207.40    1.70  205.70    0.00  207.40    0.00 
G0015 20820008    1.70    1.70  208.25    0.85  207.40    1.70  209.10    1.70  207.40    0.00  209.10    0.00 
G0015 20990008    1.70    1.70  209.95    0.85  209.10    1.70  210.80    1.70  209.10    0.00  210.80    0.00 
G0015 21160008    1.70    1.70  211.65    0.85  210.80    1.70  212.50    1.70  210.80    0.00  212.50    0.00 
G0015 21330008    1.70    1.70  213.35    0.85  212.50    1.70  214.20    1.70  212.50    0.00  214.20    0.00 
G0015 21500008    1.70    1.70  215.05    0.85  214.20    1.70  215.90    1.70  214.20    0.00  215.90    0.00 
