#Grid_ID FIELDID RA_center DEC_center RA_high1 DEC_high1 RA_high2 DEC_high2 RA_low1 DEC_low1 RA_low2 DEC_low2
G0008 05770495   57.74   49.50   31.12   62.00   84.37   62.00   42.09   37.00   73.39   37.00 
G0008 09620495   96.24   49.50   69.61   62.00  122.86   62.00   80.58   37.00  111.89   37.00 
G0008 13470495  134.73   49.50  108.10   62.00  161.36   62.00  119.08   37.00  150.38   37.00 
G0008 17320495  173.22   49.50  146.60   62.00  199.85   62.00  157.57   37.00  188.88   37.00 
G0008 21170495  211.72   49.50  185.09   62.00  238.34   62.00  196.07   37.00  227.37   37.00 
G0008 25020495  250.21   49.50  223.59   62.00  276.84   62.00  234.56   37.00  265.86   37.00 
G0008 28870495  288.71   49.50  262.08   62.00  315.33   62.00  273.05   37.00  304.36   37.00 
G0008 32720495  327.20   49.50  300.58   62.00  353.83   62.00  311.55   37.00  342.85   37.00 
G0008 04670745   46.77   74.50  167.93   87.00  285.62   87.00   20.15   62.00   73.40   62.00 
G0008 14030745  140.32   74.50  261.48   87.00   19.17   87.00  113.70   62.00  166.95   62.00 
G0008 23380745  233.87   74.50  355.03   87.00  112.71   87.00  207.25   62.00  260.50   62.00 
