#Grid_ID FIELDID RA_center DEC_center RA_high1 DEC_high1 RA_high2 DEC_high2 RA_low1 DEC_low1 RA_low2 DEC_low2
G0007 01991600   20.00  -60.00    6.95  -40.00   33.05  -40.00  322.41  -80.00   77.59  -80.00 
G0007 05991600   60.00  -60.00   46.95  -40.00   73.05  -40.00    2.41  -80.00  117.59  -80.00 
G0007 09991600  100.00  -60.00   86.95  -40.00  113.05  -40.00   42.41  -80.00  157.59  -80.00 
G0007 13991600  140.00  -60.00  126.95  -40.00  153.05  -40.00   82.41  -80.00  197.59  -80.00 
G0007 17991600  180.00  -60.00  166.95  -40.00  193.05  -40.00  122.41  -80.00  237.59  -80.00 
G0007 21991600  220.00  -60.00  206.95  -40.00  233.05  -40.00  162.41  -80.00  277.59  -80.00 
G0007 25991600  260.00  -60.00  246.95  -40.00  273.05  -40.00  202.41  -80.00  317.59  -80.00 
G0007 29991600  300.00  -60.00  286.95  -40.00  313.05  -40.00  242.41  -80.00  357.59  -80.00 
G0007 33991600  340.00  -60.00  326.95  -40.00  353.05  -40.00  282.41  -80.00   37.59  -80.00 
G0007 01061200   10.64  -20.00    0.64    0.00   20.64    0.00  357.59  -40.00   23.70  -40.00 
G0007 03191200   31.93  -20.00   21.93    0.00   41.93    0.00   18.87  -40.00   44.98  -40.00 
G0007 05321200   53.21  -20.00   43.21    0.00   63.21    0.00   40.15  -40.00   66.26  -40.00 
G0007 07441200   74.49  -20.00   64.49    0.00   84.49    0.00   61.44  -40.00   87.55  -40.00 
G0007 09571200   95.78  -20.00   85.78    0.00  105.78    0.00   82.72  -40.00  108.83  -40.00 
G0007 11701200  117.06  -20.00  107.06    0.00  127.06    0.00  104.01  -40.00  130.11  -40.00 
G0007 13831200  138.34  -20.00  128.34    0.00  148.34    0.00  125.29  -40.00  151.40  -40.00 
G0007 15961200  159.63  -20.00  149.63    0.00  169.63    0.00  146.57  -40.00  172.68  -40.00 
G0007 18091200  180.91  -20.00  170.91    0.00  190.91    0.00  167.86  -40.00  193.96  -40.00 
G0007 20211200  202.19  -20.00  192.19    0.00  212.19    0.00  189.14  -40.00  215.25  -40.00 
G0007 22341200  223.48  -20.00  213.48    0.00  233.48    0.00  210.42  -40.00  236.53  -40.00 
G0007 24471200  244.76  -20.00  234.76    0.00  254.76    0.00  231.71  -40.00  257.81  -40.00 
G0007 26601200  266.04  -20.00  256.04    0.00  276.04    0.00  252.99  -40.00  279.10  -40.00 
G0007 28731200  287.33  -20.00  277.33    0.00  297.33    0.00  274.27  -40.00  300.38  -40.00 
G0007 30861200  308.61  -20.00  298.61    0.00  318.61    0.00  295.56  -40.00  321.67  -40.00 
G0007 32981200  329.90  -20.00  319.90    0.00  339.90    0.00  316.84  -40.00  342.95  -40.00 
G0007 01060200   10.64   20.00  357.59   40.00   23.70   40.00    0.64    0.00   20.64    0.00 
G0007 03190200   31.93   20.00   18.87   40.00   44.98   40.00   21.93    0.00   41.93    0.00 
G0007 05320200   53.21   20.00   40.15   40.00   66.26   40.00   43.21    0.00   63.21    0.00 
G0007 07440200   74.49   20.00   61.44   40.00   87.55   40.00   64.49    0.00   84.49    0.00 
G0007 09570200   95.78   20.00   82.72   40.00  108.83   40.00   85.78    0.00  105.78    0.00 
G0007 11700200  117.06   20.00  104.01   40.00  130.11   40.00  107.06    0.00  127.06    0.00 
G0007 13830200  138.34   20.00  125.29   40.00  151.40   40.00  128.34    0.00  148.34    0.00 
G0007 15960200  159.63   20.00  146.57   40.00  172.68   40.00  149.63    0.00  169.63    0.00 
G0007 18090200  180.91   20.00  167.86   40.00  193.96   40.00  170.91    0.00  190.91    0.00 
G0007 20210200  202.19   20.00  189.14   40.00  215.25   40.00  192.19    0.00  212.19    0.00 
G0007 22340200  223.48   20.00  210.42   40.00  236.53   40.00  213.48    0.00  233.48    0.00 
G0007 24470200  244.76   20.00  231.71   40.00  257.81   40.00  234.76    0.00  254.76    0.00 
G0007 26600200  266.04   20.00  252.99   40.00  279.10   40.00  256.04    0.00  276.04    0.00 
G0007 28730200  287.33   20.00  274.27   40.00  300.38   40.00  277.33    0.00  297.33    0.00 
G0007 30860200  308.61   20.00  295.56   40.00  321.67   40.00  298.61    0.00  318.61    0.00 
G0007 32980200  329.90   20.00  316.84   40.00  342.95   40.00  319.90    0.00  339.90    0.00 
G0007 01990600   20.00   60.00  322.41   80.00   77.59   80.00    6.95   40.00   33.05   40.00 
G0007 05990600   60.00   60.00    2.41   80.00  117.59   80.00   46.95   40.00   73.05   40.00 
G0007 09990600  100.00   60.00   42.41   80.00  157.59   80.00   86.95   40.00  113.05   40.00 
G0007 13990600  140.00   60.00   82.41   80.00  197.59   80.00  126.95   40.00  153.05   40.00 
G0007 17990600  180.00   60.00  122.41   80.00  237.59   80.00  166.95   40.00  193.05   40.00 
G0007 21990600  220.00   60.00  162.41   80.00  277.59   80.00  206.95   40.00  233.05   40.00 
G0007 25990600  260.00   60.00  202.41   80.00  317.59   80.00  246.95   40.00  273.05   40.00 
G0007 29990600  300.00   60.00  242.41   80.00  357.59   80.00  286.95   40.00  313.05   40.00 
G0007 33990600  340.00   60.00  282.41   80.00   37.59   80.00  326.95   40.00  353.05   40.00 
